127.0.0.1 - - [25/Feb/2025:18:28:08 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [25/Feb/2025:18:28:09 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [25/Feb/2025:18:28:10 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [25/Feb/2025:18:28:22 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:18:33:06 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [25/Feb/2025:18:47:43 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:06:44 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:06:58 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:07:16 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:07:16 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:10:21 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:10:27 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:10:27 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:10:28 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:10:28 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:22:01 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:22:01 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:22:01 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:22:01 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:22:02 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:22:02 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:22:13 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:22:13 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:22:26 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:22:58 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:25:50 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:25:50 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:26:24 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:26:24 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:26:25 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:27:52 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:27:52 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:27:55 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:36:41 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:36:41 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:36:54 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:36:54 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:36:55 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:38:06 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:38:06 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:38:07 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:38:07 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:38:08 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:38:08 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:38:08 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:38:26 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:40:07 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:40:07 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [25/Feb/2025:20:56:41 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:20:56:42 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:03:04 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:08:20 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:08:20 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:08:27 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:21:44 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 200 2331
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:21:44 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 200 2221
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:21:49 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:21:49 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:22:00 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:22:00 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:22:00 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:22:00 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:22:00 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:22:36 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:22:36 +0530] "GET /Demo/design%20/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:21:22:36 +0530] "GET /Demo/design%20/index.html HTTP/1.1" 304 -
